"ID","Case Number","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location","Date"
11565457,"JC115412","097XX S AVENUE N","0890","THEFT","FROM BUILDING","ABANDONED BUILDING","false","false",432,4,10,52,"06",1201134,1841053,2019,"01/18/2019 09:37:14 AM",41.718608535,-87.538909671,"(41.718608535, -87.538909671)",01/06/2019 08:30:00 AM
11560514,"JC109237","055XX W CHICAGO AVE","1330","CRIMINAL TRESPASS","TO LAND","SMALL RETAIL STORE","false","false",1524,15,37,25,"26",1139204,1904791,2019,"01/18/2019 09:37:14 AM",41.894860447,-87.764194002,"(41.894860447, -87.764194002)",01/06/2019 05:23:00 PM
11558550,"JC107151","023XX W RICE ST","0320","ROBBERY","STRONGARM - NO WEAPON","OTHER","false","false",1212,12,1,24,"03",1160724,1905611,2019,"01/18/2019 09:37:14 AM",41.896691673,-87.685133806,"(41.896691673, -87.685133806)",01/06/2019 05:45:00 PM
11559187,"JC107694","076XX S MORGAN ST","0497","BATTERY","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","APARTMENT","true","true",621,6,17,71,"04B",1170966,1854238,2019,"01/18/2019 09:37:14 AM",41.755500772,-87.649019745,"(41.755500772, -87.649019745)",01/07/2019 09:20:00 AM
11559304,"JC107708","078XX S COLES AVE","0810","THEFT","OVER $500","SCHOOL, PRIVATE, BUILDING","false","false",421,4,7,46,"06",1197782,1853373,2019,"01/18/2019 09:37:14 AM",41.752499806,-87.550776298,"(41.752499806, -87.550776298)",01/07/2019 10:00:00 AM
11559889,"JC108722","013XX S HOMAN AVE","2024","NARCOTICS","POSS: HEROIN(WHITE)","STREET","true","false",1021,10,24,29,"18",1153918,1893431,2019,"01/18/2019 09:37:14 AM",41.863406877,-87.710455868,"(41.863406877, -87.710455868)",01/08/2019 12:14:00 AM
11560304,"JC109025","021XX N CENTRAL AVE","0460","BATTERY","SIMPLE","PARKING LOT/GARAGE(NON.RESID.)","false","false",2515,25,36,19,"08B",1138705,1913673,2019,"01/18/2019 09:37:14 AM",41.919242772,-87.765810892,"(41.919242772, -87.765810892)",01/08/2019 09:30:00 AM
11560468,"JC109052","038XX W 24TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",1013,10,22,30,"08B",1151242,1887788,2019,"01/18/2019 09:37:14 AM",41.847974664,-87.720427198,"(41.847974664, -87.720427198)",01/08/2019 09:54:00 AM
11561194,"JC109364","080XX S MORGAN ST","0460","BATTERY","SIMPLE","RESIDENCE","false","false",621,6,21,71,"08B",1171040,1851585,2019,"03/16/2019 04:01:20 PM",41.748218977,-87.648825906,"(41.748218977, -87.648825906)",01/08/2019 02:30:00 PM
11561158,"JC109849","012XX W 95TH ST","0820","THEFT","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)","false","false",2222,22,21,73,"06",1169780,1841775,2019,"01/18/2019 09:37:14 AM",41.721326358,-87.653726815,"(41.721326358, -87.653726815)",01/08/2019 05:50:00 PM
11560709,"JC109691","060XX S HONORE ST","0820","THEFT","$500 AND UNDER","SIDEWALK","false","false",714,7,15,67,"06",1165051,1864715,2019,"01/18/2019 09:37:14 AM",41.784378135,-87.670400834,"(41.784378135, -87.670400834)",01/08/2019 06:20:00 PM
